notebook,cell_index,classification,status,target_doc,pre_phase5_location,preview,notes
00_data-prep.ipynb,94,step intent,mapped,guides/stage-00-data-prep,gap,"Compile a dataframe of stratum-wise site index (SI) statistics, and then use this to assign `si_level` (H, M, L) attribute to each stand, based on stratum-level SI quantiles.",
00_data-prep.ipynb,97,step intent,mapped,guides/stage-00-data-prep,gap,Assign an AU identifier code to each inventory record.,
00_data-prep.ipynb,100,interpretation guidance,mapped,guides/diagnostics-playbook,gap,Check dataframe shape.,
00_data-prep.ipynb,102,step intent,mapped,guides/stage-00-data-prep,gap,Filter out records with null AU.,
00_data-prep.ipynb,104,interpretation guidance,mapped,guides/diagnostics-playbook,gap,Check dataframe shape.,
00_data-prep.ipynb,106,step intent,mapped,guides/stage-00-data-prep,gap,Serialize dataframe to feather file.,
00_data-prep.ipynb,109,step intent,mapped,guides/stage-00-data-prep,gap,"Compile two new columns assigning a yield curve ID to each inventory record. `curve1` uses managed (TIPSY) curves if applicable (i.e., if age is 60 or less and has a managed yield ",
01a_run-tsa.ipynb,0,step intent,mapped,guides/limitations-and-boundaries,gap,# Compile strata and yield curves for a given TSA This notebook compiles stata and yield curves for a given TSA. Typically this notebook is called from parent notebook `00_data-pre,
01a_run-tsa.ipynb,3,assumptions,mapped,guides/stage-01a-vdyp-tipsy-input,gap,"Set target number of strata for each TSA. This requires expert judgement. Try setting n to a relatively high number (e.g., 50) for a given TSA, then compile strata and inspect the ",
01a_run-tsa.ipynb,6,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,Compile stats for top n strata.,
01a_run-tsa.ipynb,9,interpretation guidance,mapped,guides/diagnostics-playbook,gap,Plot histogram of media SI values in top n strata.,
01a_run-tsa.ipynb,11,interpretation guidance,mapped,guides/diagnostics-playbook,gap,Plot scatter of stratum relative area coverage (x) versus SI (y) to confirm that there is no obvious correlation between stratum abundance and SI (so we can safely merge the small ,
01a_run-tsa.ipynb,13,interpretation guidance,mapped,guides/diagnostics-playbook,gap,Plot SI distribution and relative abundance by stratum for the top n strata.,
01a_run-tsa.ipynb,15,assumptions,mapped,guides/stage-01a-vdyp-tipsy-input,gap,"Match small strata to top n strata. We use Levenshtein distance to match augmented stratum codes to good candidates in the top n strata, and pick the biggest one if multiple matche",
01a_run-tsa.ipynb,21,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,Define some fit functions which we will use later to smooth the wobbles out of the VDYP yield curves.,
01a_run-tsa.ipynb,23,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,"Compile site index (SI) stats, including quantile levels.",
01a_run-tsa.ipynb,25,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,Define a function that compiles 3 yield curves for each stratum (corresponding to low/medium/high SI qualile levels).,
01a_run-tsa.ipynb,27,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,Compile strata.,
01a_run-tsa.ipynb,29,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,Define a function to create out VDYP input files from VDYP polygon and layer datasets.,
01a_run-tsa.ipynb,31,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,Define a function to read and parse VDYP output files (returns a list of dataframes).,
01a_run-tsa.ipynb,33,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,Define a function to estimate the VRI polygon sample size required to estimate yield within MOE target window (at optimal rotation age).,
01a_run-tsa.ipynb,35,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,Define a function to run VDYP. Uses `wine` to run VDYP on an Ubuntu linux server.,
01a_run-tsa.ipynb,37,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,Load _VDYP polygon_ VRI dataset (layer 0 in _VDYP poly and layer_ File Geodatabase).,
01a_run-tsa.ipynb,39,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,Load _VDYP layer_ VRI dataset (layer 1 in _VDYP poly and layer_ File Geodatabase).,
01a_run-tsa.ipynb,41,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,"Loop over the strata and run VDYP, using the bootstrap sampling functions to achieve MOE target to minimize the number of polygons that need to be run for each stratum. Note that t",
01a_run-tsa.ipynb,43,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,Define some new functions we will use below to smooth aggregated VDYP output for each stratum.,
01a_run-tsa.ipynb,46,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,## TIPSY yield curves,
01a_run-tsa.ipynb,47,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,"In this section we define AUs that should be modelled in TIPSY for each TSA, and compile the TISPY input parameter sets for each AU. Note that the process currently requires an exp",
01a_run-tsa.ipynb,48,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,Define groups of species codes.,
01a_run-tsa.ipynb,51,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,"Define TSA-wise TIPSY AU exclusion criteria (i.e., minimum SI, minimum peak volume, excluded BEC zones, excluded leading species).",
01a_run-tsa.ipynb,53,step intent,mapped,guides/stage-01a-vdyp-tipsy-input,gap,Output data needed to define TIPSY AUs.,
01a_run-tsa.ipynb,59,operator action,mapped,guides/limitations-and-boundaries,gap,"Pause running notebook and head to a Windows machine to run `02_input-tsa*.dat` through BatchTIPSY, then copy `04_output-tsa*.out` to `./data/` and run notebook `01b_run-tsa`.",
01b_run-tsa.ipynb,0,step intent,mapped,guides/stage-01b-post-tipsy,gap,"# Post-process TIPSY output The code in this notebook post-processes raw output from batch TIPSY, an saves",
01b_run-tsa.ipynb,3,interpretation guidance,mapped,guides/diagnostics-playbook,gap,"Plot VDYP and TIPSY curves side-by-side for each AU, to help visually validate that AU-wise yield projections are reasonable (and suitable for use downstream as input in landscape-",
